id,smile,can_smiles
59,CCCOC1=C(C=CC=C1)C(=O)C(N)(C)C2CC2,CCCOC1C=CC=CC=1C(=O)C(C)(N)C1CC1
60,CC(=O)C1C=C(C=CC=1)NC(=O)C2C(Cl)=CC(Cl)=CC=2,CC(=O)C1C=C(C=CC=1)NC(=O)C1=CC=C(Cl)C=C1Cl
61,FC(F)C1=C(C=CS1)C(N)=S,NC(=S)C1C=CSC=1C(F)F
62,O/N=C/C1N(C=CC=1)C2=CC=CC=C2,O/N=C/C1=CC=CN1C1C=CC=CC=1
63,Clc1cnc(cc1)N(c2scnc2)S(=O)(=O)CC,CCS(=O)(=O)N(c1c[n]c[s]1)c1ccc(Cl)c[n]1
64,OC(=O)CC[C@](C(O)=O)([H])NC(=O)C1=CC=C(C=C1)N(C)CC2=NC3C(N=C2)=NC(=N)NC=3N,CN(CC1C=NC2=NC(=N)NC(N)=C2N=1)C1C=CC(=CC=1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
65,C1=CC=C(C=C1)C(C2=CC=CC=C2)N3CC4(C(O)CC4)C3,OC1CCC21CN(C2)C(C1=CC=CC=C1)C1=CC=CC=C1
66,NC(=O)CN(C(=O)C(C)C)c1ccc(cc1)S(=O)(N)=O,CC(C)C(=O)N(CC(N)=O)c1ccc(cc1)S(N)(=O)=O
67,COC(=O)N(CCNc1c2c(cccc2)ccc1)C(=O)CCl,COC(=O)N(CCNc1cccc2ccccc21)C(=O)CCl
68,CCOC(=O)C1=NN(N=N1)C(C)(C)C,CC(C)(C)N1N=C(N=N1)C(=O)OCC
69,CCC1CC(C(O)=O)(C#N)C1,CCC1CC(C1)(C#N)C(O)=O
70,CCOC1=CC=C(C=C1)C(=O)C2=C(F)C=CC(Cl)=C2,CCOC1C=CC(=CC=1)C(=O)C1C=C(Cl)C=CC=1F
71,CCCCCCCC(=O)C1=CC=C(CCOC(C)=O)C=C1,CC(=O)OCCC1C=CC(=CC=1)C(=O)CCCCCCC
72,COC(=O)CN(Cc1ccc([N+](=O)[O-])cc1)c2nnc(cc2)c3ccc(OC)cc3,COc1ccc(cc1)-c1ccc([n][n]1)N(CC(=O)OC)Cc1ccc(cc1)[N+]([O-])=O
73,OC(=O)CCN(C(=O)OC)c1sccn1,COC(=O)N(CCC(O)=O)c1[n]cc[s]1
74,CCC(C)CN1CCN(CC1)c2ccc(F)cc2,CCC(C)CN1CCN(CC1)c1ccc(F)cc1
75,CC1=NC2(CCN(CC2)C(=O)OC(C)(C)C)C(=O)N1,CC(C)(C)OC(=O)N1CCC2(CC1)N=C(C)NC2=O
76,CC(C)(C)OOC(C)(C)C1=CC(=CC(=C1)C(C)(C)OOC(C)(C)C)C(C)(C)OOC(C)(C)C,CC(C)(C)OOC(C)(C)C1C=C(C=C(C=1)C(C)(C)OOC(C)(C)C)C(C)(C)OOC(C)(C)C
77,OCCN(C(C)C)CC1=C(Cl)C=CC=C1Cl,CC(C)N(CCO)CC1C(Cl)=CC=CC=1Cl
78,CCCCCCCCCCCCCCCCN(CCC(C)C)CCCN1CCOCC1,CCCCCCCCCCCCCCCCN(CCCN1CCOCC1)CCC(C)C
79,OC1CCN(CC1)S(=O)(=O)C2=C(C)C=C(Br)C=C2C,CC1C=C(Br)C=C(C)C=1S(=O)(=O)N1CCC(O)CC1
80,Cl.COC1=CC=C(C=C1)[1C@H]2[1C@H](N)C2,Cl.COC1C=CC(=CC=1)[1C@@H]1C[1C@H]1N
81,CCS(=O)(=O)N(c1ccccc1)S(=O)(=O)C=C,CCS(=O)(=O)N(c1ccccc1)S(=O)(=O)C=C
82,ClCCCCN(C(=O)c1ccccc1)c2ccc(OC)cc2,COc1ccc(cc1)N(CCCCCl)C(=O)c1ccccc1
83,CC(C)CC(N)c1n(C)c2c(cccc2)n1,CC(C)CC(N)c1[n]c2ccccc2[n]1C
84,BrCCN(c1ccccc1)c2cc([N+](=O)[O-])ccc2,[O-][N+](=O)c1cc(ccc1)N(CCBr)c1ccccc1
85,CC1=CC=C(C=C1)C2=NC(=S)NN2,CC1C=CC(=CC=1)C1NNC(=S)N=1
86,Brc1ccc(cc1)N(CC(=O)c2ccccc2)c3ccccc3,O=C(CN(c1ccccc1)c1ccc(Br)cc1)c1ccccc1
87,CC1=CC(=CC(C)=C1)NC(=O)C2=CC=C(C=C2)NC3SC4C(N=3)CS(=O)(=O)C4,CC1=CC(=CC(C)=C1)NC(=O)C1C=CC(=CC=1)NC1=NC2CS(=O)(=O)CC2S1
88,Cl.NCC1(Br)C(F)(F)C1,Cl.NCC1(Br)CC1(F)F
89,CN(C)Cc1oc(CSCCN(c2scnc2)c3c(Cl)nc(Cl)nc3)cc1,CN(C)Cc1ccc(CSCCN(c2c[n]c[s]2)c2c[n]c(Cl)[n]c2Cl)o1
90,CCOC(=O)c1c(cccc1)N(CC)CCO,CCN(CCO)c1ccccc1C(=O)OCC
91,CC1=CC(=C(C)N1)C(=O)NC2CCCC2,CC1=CC(C(=O)NC2CCCC2)=C(C)N1
92,O.O.[Na].OCCOCN1C2=C(N=C1)C(=O)N([H])C(N)=N2,O.O.[Na].NC1NC(=O)C2N=CN(COCCO)C=2N=1
93,C1=CC=C(C=C1)CNC2C3C(=CC=CC=3C(O)=O)NC(=O)N=2,OC(=O)C1C=CC=C2NC(=O)N=C(NCC3C=CC=CC=3)C2=1
94,Cl.CCN(CC)CCc1c2c(ccc(Cl)c2)nc1,Cl.CCN(CCc1c[nH]c2ccc(Cl)cc12)CC
95,Cl.NC1C=C(ON=1)C2SC=CC=2,Cl.NC1C=C(ON=1)C1=CC=CS1
96,CCC(C)NC(C1=CC=CC=C1)C(=O)C2C3=C(NC=2)C(CC)=CC=C3,CC(CC)NC(C(=O)C1=CNC2C(CC)=CC=CC1=2)C1C=CC=CC=1
97,O=CC1C(Cl)=CC(F)=NC=1,O=CC1=CN=C(F)C=C1Cl
98,BrC1C=C(C(Cl)=CC=1)C(=O)C2=CC=C(O[C@@H]3COCC3)C=C2,O=C(C1=CC(Br)=CC=C1Cl)C1C=CC(=CC=1)O[C@@H]1COCC1
99,OC1=CC=C(C=C1)/C=C2/C(=O)N(C3=C(OC)C=CC=C3)\C(=N\C4=C(OC)C=CC=C4)S2,COC1C=CC=CC=1/N=C1\S/C(=C\C2C=CC(O)=CC=2)/C(=O)N\1C1C=CC=CC=1OC
100,CCCCOC(=O)CN(CCCC)Cc1ccccc1,CCCCOC(=O)CN(Cc1ccccc1)CCCC
101,Cl.CC1=CC(=CC=C1)N2C(=O)CCC2,Cl.CC1=CC(=CC=C1)N1CCCC1=O
102,CC(C)CCOC(=O)CN(c1c(C)cccc1)c2ccc(cc2)S(=O)(=O)Nc3nc(C)ccn3,Cc1cc[n]c(NS(=O)(=O)c2ccc(cc2)N(CC(=O)OCCC(C)C)c2ccccc2C)[n]1
103,c1ncc(cc1)c2sc(C(=O)Nc3cc(ccc3)C(F)(F)F)c(C)n2,Cc1[n]c([s]c1C(=O)Nc1cc(ccc1)C(F)(F)F)-c1c[n]ccc1
104,BrCC1=C(C=CC=C1Br)C(O)=O,OC(=O)C1C=CC=C(Br)C=1CBr
105,NCc1ccc(cc1)S(=O)(=O)N2CCCCC2,NCc1ccc(cc1)S(=O)(=O)N1CCCCC1
106,CCOC(=O)C1C2C(=NC=C(Br)N=2)NC=1,CCOC(=O)C1=CNC2=NC=C(Br)N=C12
107,COCC1CCN(CC1)S(=O)(N)=O,COCC1CCN(CC1)S(N)(=O)=O
108,O=C(OCC1=CC=CC=C1)NC2COCCC2,O=C(NC1CCCOC1)OCC1C=CC=CC=1
109,OCCCCN(c1ccc(cc1)c2ocnn2)C(C(F)(F)F)(F)C(F)(F)F,OCCCCN(c1ccc(cc1)-c1[n][n]co1)C(F)(C(F)(F)F)C(F)(F)F
110,BrC1C2=C(C=CC=1)C(=CN2C)B3OC(C)(C)C(C)(C)O3,CN1C=C(B2OC(C)(C)C(C)(C)O2)C2C=CC=C(Br)C1=2
111,COC1C=C2C(=CC=1)C=C(C=C2)C(=O)C(C)(C)CCl,COC1C=C2C=CC(=CC2=CC=1)C(=O)C(C)(C)CCl
112,CC(=O)OCC1C(C(=O)OCC2=CC=C(OC)C=C2)=CC(=CC=1)CO[Si](C)(C)C(C)(C)C,CC(=O)OCC1=CC=C(CO[Si](C)(C)C(C)(C)C)C=C1C(=O)OCC1C=CC(=CC=1)OC
113,ClCC(C)(C)C(=O)N(C(C)C)CC(=O)N(CCC1C2=C(C=CC=C2)NC=1)CC3=CC=C(N(C)C)C=C3,CN(C)C1C=CC(CN(CCC2=CNC3C=CC=CC2=3)C(=O)CN(C(C)C)C(=O)C(C)(C)CCl)=CC=1
114,BrC1=CC(=CC=C1)S(=O)(=O)C(F)F,O=S(=O)(C(F)F)C1C=C(Br)C=CC=1
115,c1ccc(cc1)Nc2ccc(cc2)N(Cc3ccccc3)S(=O)(=O)c4ccccc4,O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccc(cc1)Nc1ccccc1
116,OC1C=C2C(=CC=1)[C@@H](C3=CC=C(OCCN4CCCCC4)C=C3)N(CC2)C5=CC=CC=C5,OC1C=C2CCN([C@@H](C2=CC=1)C1C=CC(=CC=1)OCCN1CCCCC1)C1C=CC=CC=1
117,[H]Cl.OCCN1N=C(C=C1)NCC2N(C)C=CC=2,Cl.CN1C=CC=C1CNC1C=CN(CCO)N=1
118,COC(=O)CNC(=O)C1C=C(Cl)C=CC=1,COC(=O)CNC(=O)C1C=C(Cl)C=CC=1
119,COC1=CC=C(C=C1)CNC2=C(NC(=O)NCCNC(=O)OC(C)(C)C)C=NN2C,COC1=CC=C(CNC2=C(C=NN2C)NC(=O)NCCNC(=O)OC(C)(C)C)C=C1
120,O\N=C\C1C=C2C(=NC=1)C=C(O2)[Si](C)(C)C,C[Si](C)(C)C1=CC2=NC=C(C=C2O1)/C=N/O
121,NCCN1C[C@H](CC1)N(C)C(C)=O,CN([C@@H]1CN(CCN)CC1)C(C)=O
122,COC(=O)CC(C)N1C(=O)C2C(=CC=CC=2)C1=O,COC(=O)CC(C)N1C(=O)C2=CC=CC=C2C1=O
123,CCCCN(C(=O)CCC)c1ccc(Cl)cc1,CCCCN(C(=O)CCC)c1ccc(Cl)cc1
124,O=C1C2=C(NC=N1)N(C=N2)[C@@H]3O[C@H](COP(=O)(O)OP(O)(O)=O)[C@@H](O)C3,OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1NC=NC2=O
125,CCCC1=C(C=O)C(N)=NC=N1,CCCC1N=CN=C(N)C=1C=O
126,NNC(=O)C1=CC=C(C=C1)COC2C(Cl)=CC(Br)=CC=2,NNC(=O)C1C=CC(COC2=CC=C(Br)C=C2Cl)=CC=1
127,FC(F)(F)OC1=CC=C(C=C1)S(=O)(=O)NC2C(C)=C(C=CC=2)C(F)(F)F,CC1C(=CC=CC=1C(F)(F)F)NS(=O)(=O)C1C=CC(=CC=1)OC(F)(F)F
128,CCOC(=O)C1C(=O)C2C(=CC=NC=2)C1,CCOC(=O)C1CC2=CC=NC=C2C1=O
129,CCC1=C(C(O)=O)C(CC(C)C)=NN1,CCC1NN=C(CC(C)C)C=1C(O)=O
130,O[C@@H]1C[C@H](COC(C)(C)[C@H]1O)[C@H]2[C@@]3(C)[C@@](CC2)(C)C4[C@@](CC3)([H])[C@]5(C)[C@](CC=4)([H])C(C)(C)[C@H](O)CC5,C[C@]12CC[C@@H]([C@H]3COC(C)(C)[C@@H](O)[C@H](O)C3)[C@]1(C)CC[C@H]1C2=CC[C@@H]2[C@]1(C)CC[C@@H](O)C2(C)C
131,C[C@H](O)[C@H](N)C1=CC(=CC=C1Cl)C(F)(F)F,C[C@H](O)[C@H](N)C1=CC(=CC=C1Cl)C(F)(F)F
132,ClC1=CC=C(C=C1)SC2C([N+](=O)[O-])=CC(C(O)=O)=CC=2,[O-][N+](=O)C1=CC(=CC=C1SC1C=CC(Cl)=CC=1)C(O)=O
133,CCOC(=O)C1=CN2C(C=C1)=NC(C(=O)OCC)=C2,CCOC(=O)C1=CN2C=C(N=C2C=C1)C(=O)OCC
134,OC(=O)CCCN1C2C(=CC=CC=2)OCC1=O,OC(=O)CCCN1C2=CC=CC=C2OCC1=O
